index_name,vector_field,dimensions,has_vector_field,with_vector,without_vector,coverage_pct,approx_bytes
cobol-copybooks-v2,copybook_vector,1536,True,1000,0,100.0,6144000
cobol-copybooks,copybook_vector,1536,True,115317,0,100.0,708507648
cobol-facts-v2,fact_vector,1536,True,1000,0,100.0,6144000
cobol-facts-v3,fact_vector,1536,True,5,26,16.13,30720
cobol-facts-v3l,fact_vector,3072,True,31,0,100.0,380928
cobol-facts,fact_vector,1536,True,474607,0,100.0,2915985408
cobol-file-chunks-v1,chunk_text_vector,1536,True,32774,0,100.0,201363456
cobol-index,embeddings,1536,False,,,,
cobol-routine-aliases,alias_vector,1536,True,0,0,,
cobol-symbols,name_vector,3072,True,41550,0,100.0,510566400
cobol-xrefs,snippet_vector,3072,True,63405,0,100.0,779120640
code-chunks,text_vector,3072,True,102654,0,100.0,1261412352
new-cobol-files,contentVector,3072,False,,,,
new_cobol_calls,snippet_vector,3072,True,7520,0,100.0,92405760
new_cobol_copybook_meta,summary_vector,3072,True,8213,0,100.0,100921344
new_cobol_copybook_usage,context_vector,3072,True,112535,0,100.0,1382830080
new_cobol_data_items,vector,3072,True,267769,0,100.0,3290345472
new_cobol_flow_edges,edge_vector,3072,True,368454,0,100.0,4527562752
new_cobol_flow_edges_v2,edge_vector,3072,True,48463,0,100.0,595513344
new_cobol_paragraphs,para_vector,3072,True,224655,0,100.0,2760560640
new_cobol_program_deps,dependency_blob_vector,3072,True,1572,0,100.0,19316736
new_cobol_program_flows,flow_vector,3072,True,3881,0,100.0,47689728
new_cobol_program_meta,program_summary_vector,3072,False,,,,
new_cobol_screen_nodes,summary_vector,1536,True,416,0,100.0,2555904
new_cobol_ui_paths,path_vector,1536,True,471,0,100.0,2893824
new_cobol_variable_usage,usage_summary_vector,3072,True,10735,0,100.0,131911680
new_code_chunks,text_vector,3072,True,84205,0,100.0,1034711040
